fips,age_group,popsize
08013,a,145454
08013,g,28600
08013,o,56655
08013,p,16604
08013,s,45877
08014,a,25377
08014,g,5184
08014,o,9881
08014,p,3844
08014,s,10503
08015,a,6902
08015,g,3423
08015,o,4490
08015,p,766
08015,s,2271
08017,a,680
08017,g,340
08017,o,376
08017,p,124
08017,s,323
08019,a,3633
08019,g,1072
08019,o,2672
08019,p,451
08019,s,1166
08021,a,2924
08021,g,1257
08021,o,1627
08021,p,641
08021,s,1691
08023,a,1071
08023,g,786
08023,o,872
08023,p,205
08023,s,547
08025,a,3325
08025,g,603
08025,o,1091
08025,p,189
08025,s,589
08027,a,1133
08027,g,898
08027,o,1419
08027,p,143
08027,s,597
08029,a,10827
08029,g,6187
08029,o,7244
08029,p,1785
08029,s,5113
08031,a,305661
08031,g,61421
08031,o,95469
08031,p,43013
08031,s,83447
08033,a,730
08033,g,386
08033,o,477
08033,p,139
08033,s,325
08035,a,126035
08035,g,18990
08035,o,50189
08035,p,22345
08035,s,63827
08037,a,27854
08037,g,2736
08037,o,9050
08037,p,3997
08037,s,8876
08039,a,8837
08039,g,2076
08039,o,6068
08039,p,1168
08039,s,4816
08041,a,278917
08041,g,60345
08041,o,109483
08041,p,43880
08041,s,115436
08043,a,20136
08043,g,8132
08043,o,10289
08043,p,2127
08043,s,6187
08045,a,26489
08045,g,4595
08045,o,10554
08045,p,4609
08045,s,10842
08047,a,2314
08047,g,452
08047,o,1624
08047,p,300
08047,s,662
08049,a,6566
08049,g,1451
08049,o,3800
08049,p,864
08049,s,2221
08051,a,8230
08051,g,1308
08051,o,2995
08051,p,820
08051,s,2003
08053,a,290
08053,g,133
08053,o,240
08053,p,59
08053,s,112
08055,a,2007
08055,g,1639
08055,o,1896
08055,p,306
08055,s,976
08057,a,541
08057,g,265
08057,o,355
08057,p,62
08057,s,185
08059,a,229595
08059,g,65578
08059,o,117458
08059,p,30345
08059,s,88985
08061,a,437
08061,g,299
08061,o,320
08061,p,74
08061,s,248
08063,a,3682
08063,g,1313
08063,o,1579
08063,p,529
08063,s,1280
08065,a,3486
08065,g,652
08065,o,1439
08065,p,600
08065,s,1249
08067,a,23338
08067,g,5760
08067,o,11506
08067,p,2837
08067,s,7664
08069,a,141026
08069,g,34306
08069,o,57373
08069,p,17453
08069,s,46538
08071,a,5991
08071,g,2768
08071,o,3682
08071,p,881
08071,s,2453
08073,a,2319
08073,g,921
08073,o,1058
08073,p,294
08073,s,831
08075,a,10295
08075,g,3294
08075,o,4311
08075,p,1179
08075,s,3372
08077,a,61648
08077,g,21545
08077,o,29620
08077,p,10210
08077,s,24828
08079,a,219
08079,g,165
08079,o,238
08079,p,19
08079,s,91
08081,a,5806
08081,g,1429
08081,o,2800
08081,p,1062
08081,s,2631
08083,a,9329
08083,g,4184
08083,o,6032
08083,p,1602
08083,s,4360
08085,a,15158
08085,g,7155
08085,o,8815
08085,p,2759
08085,s,7648
08087,a,11403
08087,g,3927
08087,o,4892
08087,p,2161
08087,s,5716
08089,a,6851
08089,g,3417
08089,o,3784
08089,p,1194
08089,s,3497
08091,a,1438
08091,g,732
08091,o,1425
08091,p,173
08091,s,627
08093,a,6077
08093,g,1807
08093,o,5008
08093,p,845
08093,s,2361
08095,a,1512
08095,g,889
08095,o,822
08095,p,283
08095,s,853
08097,a,7883
08097,g,1872
08097,o,4323
08097,p,767
08097,s,2163
08099,a,4859
08099,g,1817
08099,o,2411
08099,p,1003
08099,s,2503
08101,a,63531
08101,g,23954
08101,o,31489
08101,p,10597
08101,s,28275
08103,a,2934
08103,g,802
08103,o,1397
08103,p,490
08103,s,1156
08105,a,4308
08105,g,1906
08105,o,2612
08105,p,790
08105,s,2256
08107,a,11256
08107,g,1808
08107,o,5693
08107,p,1318
08107,s,3613
08109,a,2274
08109,g,831
08109,o,1636
08109,p,402
08109,s,991
08111,a,265
08111,g,78
08111,o,186
08111,p,35
08111,s,93
08113,a,3684
08113,g,459
08113,o,1755
08113,p,460
08113,s,1021
08115,a,763
08115,g,559
08115,o,608
08115,p,122
08115,s,340
08117,a,15210
08117,g,1997
08117,o,5615
08117,p,1586
08117,s,3270
08119,a,8369
08119,g,2816
08119,o,6997
08119,p,1057
08119,s,3698
08121,a,1681
08121,g,911
08121,o,1050
08121,p,262
08121,s,896
08123,a,113062
08123,g,23208
08123,o,42188
08123,p,20266
08123,s,49469
08125,a,3772
08125,g,1637
08125,o,1920
08125,p,806
08125,s,1887
09001,a,386655
09001,g,122534
09001,o,174291
09001,p,57009
09001,s,169932
09003,a,380234
09003,g,129122
09003,o,177125
09003,p,50924
09003,s,154262
09005,a,73874
09005,g,29803
09005,o,44802
09005,p,9215
09005,s,32321
09007,a,68198
09007,g,25092
09007,o,36696
09007,p,8420
09007,s,27201
09009,a,375835
09009,g,122807
09009,o,167550
09009,p,48797
09009,s,145036
09011,a,119441
09011,g,38290
09011,o,55961
09011,p,15120
09011,s,44818
09013,a,73013
09013,g,17867
09013,o,30404
09013,p,7073
09013,s,23973
09015,a,52756
09015,g,14950
09015,o,23668
09015,p,6643
09015,s,20095
10001,a,69709
10001,g,21363
10001,o,28629
10001,p,11231
10001,s,29149
10003,a,245275
10003,g,65356
10003,o,100480
10003,p,33554
10003,s,92233
10005,a,71164
10005,g,40032
10005,o,43509
10005,p,11574
10005,s,28472
11001,a,322993
11001,g,67800
11001,o,99337
11001,p,32707
11001,s,69391
12001,a,134938
12001,g,25996
12001,o,41332
12001,p,13177
12001,s,31214
12003,a,12163
12003,g,2875
12003,o,4972
12003,p,1987
12003,s,5127
12005,a,73205
12005,g,24199
12005,o,32988
12005,p,10672
12005,s,26400
12007,a,13469
12007,g,4067
12007,o,5717
12007,p,1721
12007,s,4005
12009,a,207262
12009,g,109491
12009,o,116751
12009,p,27127
12009,s,81478
12011,a,766119
12011,g,246998
12011,o,330197
12011,p,103398
12011,s,286598
12013,a,6506
12013,g,2239
12013,o,2835
12013,p,901
12013,s,2211
12015,a,44657
12015,g,53621
12015,o,38042
12015,p,5766
12015,s,17543
12017,a,40425
12017,g,44549
12017,o,33688
12017,p,5647
12017,s,17072
12019,a,81288
12019,g,21630
12019,o,36085
12019,p,11819
12019,s,38279
12021,a,111150
12021,g,82768
12021,o,62136
12021,p,17084
12021,s,45347
12023,a,28039
12023,g,10219
12023,o,13882
12023,p,4226
12023,s,11046
12027,a,14643
12027,g,6143
12027,o,6007
12027,p,2263
12027,s,5536
12029,a,6310
12029,g,3072
12029,o,3832
12029,p,893
12029,s,2296
12031,a,402826
12031,g,94262
12031,o,158526
12031,p,59593
12031,s,144588
12033,a,132746
12033,g,42471
12033,o,57536
12033,p,18722
12033,s,45540
12035,a,32007
12035,g,22721
12035,o,20994
12035,p,4844
12035,s,14134
12037,a,5144
12037,g,1972
12037,o,2507
12037,p,555
12037,s,1337
12039,a,19135
12039,g,6217
12039,o,9739
12039,p,3189
12039,s,7984
12041,a,6961
12041,g,2802
12041,o,3452
12041,p,880
12041,s,2734
12043,a,5203
12043,g,2737
12043,o,2521
12043,p,707
12043,s,1671
12045,a,7396
12045,g,2550
12045,o,3328
12045,p,681
12045,s,1978
12047,a,7006
12047,g,1920
12047,o,3009
12047,p,798
12047,s,2197
12049,a,12256
12049,g,3625
12049,o,4234
12049,p,2216
12049,s,5330
12051,a,17814
12051,g,4450
12051,o,5959
12051,p,3111
12051,s,7676
12053,a,57938
12053,g,44025
12053,o,35804
12053,p,8636
12053,s,25547
12055,a,29823
12055,g,31649
12055,o,19335
12055,p,5122
12055,s,13027
12057,a,565605
12057,g,142282
12057,o,213058
12057,p,80658
12057,s,212447
12059,a,8367
12059,g,3378
12059,o,4022
12059,p,1164
12059,s,3216
12061,a,45290
12061,g,36928
12061,o,28897
12061,p,6560
12061,s,19341
12063,a,22066
12063,g,7752
12063,o,10129
12063,p,2705
12063,s,7412
12065,a,6067
12065,g,2362
12065,o,3488
12065,p,790
12065,s,1997
12067,a,4220
12067,g,1073
12067,o,1395
12067,p,481
12067,s,1266
12069,a,104732
12069,g,70970
12069,o,58226
12069,p,16484
12069,s,45099
12071,a,225497
12071,g,141022
12071,o,125135
12071,p,33408
12071,s,87235
12073,a,148773
